name,city,state,zip,lat,lng
Noodles & Company,Fort Collins,CO,80524-3004,40.5782603,-105.0767881
Noodles & Company,,,,40.5202866,-105.0400146
Noodles & Company,,,,39.7628791,-105.1401941
Noodles & Company,,,,39.5642211,-105.1083489
Noodles & Company,,,,39.7105373,-105.0825112
Noodles & Company,,,,39.7582028,-104.9015069
Noodles & Company,Denver,CO,80203,39.725351,-104.9870113
Noodles & Company,,,,39.99952,-105.2611613
Noodles & Company,Denver,CO,80202,39.7427384,-104.9887055
Noodles & Company,,,,39.6296695,-106.0599727
Noodles & Company,Greenwood Village,CO,80111,39.6236192,-104.89702
Noodles & Company,Aurora,CO,80012,39.6933703,-104.8646684
Noodles & Company,,,,40.0157007,-105.2577591
Noodles & Company,Denver,CO,80222,39.6526902,-104.915569
Noodles & Company,Centennial,CO,80112,39.5954893,-104.8497116
Noodles & Company,,,80011,39.7397775,-104.828014
Noodles & Company,Broomfield,CO,80020,39.9146622,-105.0449535
Noodles & Company,Parker,CO,80134,39.5345745,-104.7904241
Noodles & Company,Grand Junction,CO,81505,39.0856678,-108.594042
Noodles & Company,Fountain,CO,,38.7184303,-104.7000214
Noodles & Company,,,,39.9865949,-105.0975861
Noodles & Company,Boulder,CO,80304,40.0259296,-105.281367
Noodles & Company,Highlands Ranch,CO,80126,39.5430376,-104.942351
Noodles & Company,Aurora,CO,80016,39.6037988,-104.7082773
Noodles & Company,Littleton,CO,,39.585994,-105.026145
Noodles & Company,,,,39.9570183,-104.995032
Noodles & Company,Thornton,CO,80233,39.913445,-104.9424079
Noodles & Company,Loveland,CO,80538-8715,40.4087948,-105.006938
Noodles & Company,Lakewood,CO,80228,39.721523,-105.1327741
Noodles & Company,,,,40.3930493,-104.7537717
Noodles & Company,,,,40.4227956,-105.0765915
Noodles & Company,,,,38.8947255,-104.7188497
Noodles & Company,,,,39.4128812,-104.8635295
Noodles & Company,Colorado Springs,CO,,38.9038293,-104.8186004
Noodles & Company,,,,39.7364681,-105.1559071
Noodles & Company,Colorado Springs,CO,,38.8056082,-104.8216063
Noodles & Company,,,,39.7636438,-104.7716873
Noodles & Company,,,,39.5948649,-104.960902
Noodles & Company,,,,39.6256044,-105.0916994
Noodles & Company,,,,39.8131879,-105.1418321
Noodles & Company,Colorado Springs,CO,80921,38.9917283,-104.8005921
Noodles & Company,Greeley,CO,80634,40.4222086,-104.749512
Noodles & Company,Aurora,CO,80013,39.6395806,-104.7919781
Noodles & Company,,,,39.8442431,-105.0824205
Noodles & Company,Fort Collins,CO,80525,40.5390486,-105.0777178
Noodles & Company,Denver,CO,80222,39.6891026,-104.9401377
Noodles & Company,Parker,CO,80134,39.5119966,-104.7661547
Noodles & Company,Pueblo,CO,81008,38.3085436,-104.6194165
Noodles & Company,,,,40.1470796,-105.1314848
Noodles & Company,Longmont,CO,80501,40.1977067,-105.1030474
Noodles & Company,,,,39.9301016,-105.1267967